title,price,image
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/3963a7bb16b62d1484026418218e1576-detail"">Lenovo Legion Pro 5 16IRX8 Onyx Grey Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",170202 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_5834_6459.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/51408c20ec4f5fe7f996450b65b2fe51-detail"">Ноутбук Lenovo Legion 5 Pro 16ARH7H 82RG001MUS AMD Ryzen 7 6800H (3.20-4.70GHz), 16GB DDR5, 1TB SSD, NVIDIA RTX 3070Ti 8GB GDDR6, 16""WQXGA (2560x1600) 165Hz IPS, WiFi ax, BT 5.1, HD WC, Win 11 Home, Backlit RGB Русская клавиатура, Storm Grey</a></span>",170505 Сом,https://enter.kg//images/stories/virtuemart/product/1_5376.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/5010c617da9b29ea0348ca3c5bfd3b41-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 8GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",170707 Сом,https://enter.kg//images/stories/virtuemart/product/777777_7300.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/684fdccaddaca1401846c93836057125-detail"">Ноутбук Acer Predator Helios Neo 16 PHN16-71-73LT Intel Core i7-13700HX (1.50-5.00GHz), 16GB DDR5, 1TB SSD, NVIDIA RTX 4060 8GB GDDR6, 16""WQXGA (2560x1600) 165Hz IPS, WiFi ax, BT 5.1, HD WC, CR, Win 11 Home, Backlit RGB Русская клавиатура, Steel Gray, Bag</a></span>",171111 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7596.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/1d4ca5d071b304362a8a344b64eac6fa-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 256GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",172222 Сом,https://enter.kg//images/stories/virtuemart/product/777777_5389.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/c806872f3b406cd97cf3765a1cf102b2-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",172222 Сом,https://enter.kg//images/stories/virtuemart/product/13_1321.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/851e852a50a21a600e681cfa4b700cdd-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",172727 Сом,https://enter.kg//images/stories/virtuemart/product/13_8703.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/aef6df135cd2d1342cea3147c11acafa-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 16GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",173232 Сом,https://enter.kg//images/stories/virtuemart/product/777777_3050.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/288794e974e959781c42029cd36cd539-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 8GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",173232 Сом,https://enter.kg//images/stories/virtuemart/product/777777_5623.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/7f0cb2c05c183e49fc2891babb6366d2-detail"">Apple MacBook Pro 14"" FKGQ3LL/A Apple M1 Pro 10-Core, 16GB DDR5, 1TB SSD, Apple Video 16-Core, 14.2"" (3024x1964) Liquid Retina XDR, WiFi ax, BT 5.0, FHD WC, CR, Touch ID, macOS, Space Gray (CPO)</a></span>",173535 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7178.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/12ffb2c70aa4df4feaf4732111500cfc-detail"">Apple MacBook Pro 14"" FKGT3LL/A Apple M1 Pro 10-Core, 16GB DDR5, 1TB SSD, Apple Video 16-Core, 14.2"" (3024x1964) Liquid Retina XDR, WiFi ax, BT 5.0, FHD WC, CR, Touch ID, macOS, Silver (CPO)</a></span>",173535 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_2377.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/b2d3aa7e56f6f48373e12acd4e3608e1-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",173737 Сом,https://enter.kg//images/stories/virtuemart/product/777777_6767.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/5bc8157f874cd25f7777a30285dc87b8-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 256GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",175252 Сом,https://enter.kg//images/stories/virtuemart/product/777777_4990.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/61ca7f6c0e421e3fac4bdfd7855d750a-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",175252 Сом,https://enter.kg//images/stories/virtuemart/product/13_7493.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/a2d08c172f5f062e995d79ce8a808dd6-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 16GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",175757 Сом,https://enter.kg//images/stories/virtuemart/product/777777_8417.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/56097ff2e76def5b6069986e3f3c32c0-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 48GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",175757 Сом,https://enter.kg//images/stories/virtuemart/product/13_3486.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/fe95a79685acbe0f7b17debff7de67d5-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",176262 Сом,https://enter.kg//images/stories/virtuemart/product/777777_6230.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/2adb65305cfc2e15cf4bc26420e18b58-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",177273 Сом,https://enter.kg//images/stories/virtuemart/product/777777_6244.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/8e39b8306261a340dcd6585443455b95-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 48GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",177778 Сом,https://enter.kg//images/stories/virtuemart/product/13_7129.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/44c69ad4a4906be30fcdce54fc1427f9-detail"">Ноутбук Gigabyte AORUS 15X ASF-83US654SH Intel Core i7-13700HX (1.50-5.00GHz), 16GB DDR5, 1TB SSD, NVIDIA RTX 4070 8GB GDDR6, 15.6""QHD (2560x1440) 240Hz IPS, WiFi ax, BT 5.2, FHD WC, Win 11 Home, Backlit RGB Русская клавиатура, Black</a></span>",178586 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3343.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/ceecde292aeb870b5c1470d12f3a004c-detail"">Lenovo Legion Pro 5 16IRX8 Onyx Grey Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 64GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",178788 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8411.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/3a16646eee6f44112a4cfbf0d6dc7366-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",179293 Сом,https://enter.kg//images/stories/virtuemart/product/777777_4398.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/005ad4b6dee1b8d1aa67c6357bf45a55-detail"">Apple MacBook Pro 16"" FK1E3LL/A Apple M1 Pro 10-Core, 16GB DDR5, 512GB SSD, Apple Video 16-Core, 16.2"" (3456x2234) Liquid Retina XDR, WiFi ax, BT 5.0, FHD WC, CR, Touch ID, macOS, Silver (CPO)</a></span>",179293 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_6822_8375.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/bbbdfa5a630a2dad816ee79274e3b7ea-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",179798 Сом,https://enter.kg//images/stories/virtuemart/product/777777_2594.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/3bfa0fc218452cc9c6707897e21505b8-detail"">Lenovo Legion Pro 5 16IRX8 Onyx Grey Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 64GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",180808 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7284.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/731ead7c83126c2a9698ce6bcf3a79f1-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 48GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",181313 Сом,https://enter.kg//images/stories/virtuemart/product/13_5103.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/a72233b07fc5e21b3b6bf17b42996bcd-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",182323 Сом,https://enter.kg//images/stories/virtuemart/product/777777_6101.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/16d2e2ef76390424a46ce059315bac56-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",182828 Сом,https://enter.kg//images/stories/virtuemart/product/777777_7939.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/9d9b9f306d1a51b96b860f1eacd710e7-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 48GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",183838 Сом,https://enter.kg//images/stories/virtuemart/product/13_4361.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/3ea8658f2b177776ef1c3fafc0ed6ba3-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 64GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",183838 Сом,https://enter.kg//images/stories/virtuemart/product/13_3710.jpg
